target
37
49
46
19
50
18
62
45
24
24
30
23
11
3
23
5
16
9
24
93
99
27
61
52
99
22
45
16
2
53
29
43
85
22
44
29
23
39
58
59
89
53
87
44
40
89
23
85
53
76
22
55
15
87
53
30
83
10
22
47
16
19
19
78
74
10
86
68
73
99
99
30
87
42
15
19
20
49
55
64
50
11
45
80
46
51
66
68
75
89
67
31
46
32
57
53
54
82
24
13
89
91
81
38
99
95
87
23
23
15
18
17
38
36
84
63
47
28
97
92
17
9
58
40
93
45
47
82
32
57
0
16
69
35
65
14
65
88
12
43
1
48
25
53
30
76
80
69
4
69
54
83
25
68
40
99
13
57
8
66
36
21
29
54
26
70
27
81
83
86
27
81
20
12
96
0
70
69
47
59
26
71
14
37
36
14
21
26
48
68
42
95
20
58
76
52
82
50
7
71
99
49
9
54
48
10
5
56
76
63
42
77
3
13
24
31
87
99
24
81
11
17
58
75
42
30
71
98
26
62
79
96
60
81
77
52
98
59
29
20
63
65
25
93
56
19
25
92
48
51
42
29
29
51
58
84
82
46
26
92
10
45
84
25
95
91
50
49
56
99
99
39
88
6
54
97
13
76
82
56
17
42
93
30
57
57
88
74
50
98
77
20
10
52
47
59
80
24
26
35
12
25
58
13
7
5
54
31
48
61
91
29
46
28
96
67
92
88
99
60
32
50
41
0
49
96
29
48
70
41
63
46
25
43
35
66
58
72
18
30
40
46
44
41
52
55
12
24
9
29
62
10
16
42
39
48
80
14
83
82
59
56
23
45
49
45
3
50
5
13
29
16
9
53
45
60
65
66
46
46
26
33
49
84
33
48
41
34
34
38
29
18
23
68
74
21
8
57
93
79
33
22
30
73
9
14
5
1
59
51
98
44
40
99
64
21
88
65
10
80
36
2
4
0
13
44
47
59
0
41
87
75
28
73
52
42
66
35
37
74
64
54
50
59
46
49
37
54
61
97
30
49
91
82
29
73
45
50
34
1
9
17
92
17
12
82
24
8
6
8
97
93
3
2
92
56
19
74
42
68
41
70
15
95
21
37
84
49
16
99
60
7
37
21
28
98
1
64
11
3
92
89
40
92
70
32
94
44
19
51
68
48
65
7
72
47
36
71
55
6
18
53
20
72
8
63
63
52
79
5
99
26
64
90
76
82
32
82
29
33
74
47
85
59
19
53
11
91
80
60
49
32
54
35
32
68
42
88
97
58
24
36
67
56
35
30
76
9
58
21
20
69
76
76
43
99
18
37
23
14
58
56
3
14
40
50
28
40
5
83
78
45
42
17
84
60
43
95
73
68
41
87
3
39
13
41
85
92
16
69
51
85
60
20
96
47
82
22
75
55
16
14
67
13
24
61
22
8
99
37
32
56
93
93
47
21
38
84
50
2
75
86
67
82
17
29
48
57
50
63
41
0
87
18
42
54
48
23
59
22
38
64
44
23
80
39
46
47
26
18
24
78
0
77
82
41
23
24
81
99
10
49
35
2
20
79
14
56
55
44
48
69
94
18
13
11
37
54
0
6
79
67
25
75
73
59
27
42
97
15
39
87
41
12
56
7
2
10
83
41
55
13
87
77
7
57
20
60
5
78
29
33
34
36
36
44
81
29
23
47
59
5
87
40
18
39
70
26
78
21
95
99
81
47
5
3
57
23
8
49
7
96
66
23
14
40
36
12
29
39
27
0
29
20
13
22
87
72
39
0
2
50
52
15
46
10
53
0
61
65
76
2
26
36
21
14
92
25
57
88
34
18
83
69
57
21
65
21
47
94
56
40
20
29
18
44
31
64
16
90
52
4
81
6
54
90
63
99
64
40
65
8
61
97
69
1
17
88
51
62
4
98
35
27
79
35
46
29
26
88
4
79
44
54
86
72
0
86
93
41
85
72
16
42
2
10
26
64
34
84
57
59
5
73
99
40
67
77
39
81
19
60
87
67
57
9
75
85
90
30
59
32
1
53
92
52
46
28
16
70
54
98
71
48
18
4
99
12
33
0
61
27
94
76
46
82
81
75
30
44
28
50
19
6
45
2
49
50
19
89
30
16
31
20
17
56
3
8
89
8
86
23
88
32
60
94
18
54
30
6
55
96
4
23
79
42
40
70
36
82
44
34
21
8
7
67
64
65
88
24
32
60
12
6
10
29
49
47
67
39
26
26
14
20
22
81
53
50
46
27
0
32
78
29
92
42
93
97
24
26
13
64
1
85
8
20
44
99
99
72
79
73
13
55
2
63
7
86
2
46
96
93
77
96
50
94
9
19
17
61
23
39
95
25
37
42
17
96
16
31
46
61
82
50
6
19
16
20
81
99
6
27
